Elementary_School,Elementary_Borough,Elementary_SchoolDigger_Rank,Elementary_Total_Schools,Middle_School,Middle_Borough,Middle_SchoolDigger_Rank,Middle_Total_Schools,Elementary_School_Type,Middle_School_Type,Elementary_Address,Middle_Address,Overlap_Area
P.S. 094 David D. Porter,Queens,22.0,2445,J.H.S. 067 Louis Pasteur,Queens,83.0,1504,Elementary,Junior High-Intermediate-Middle,"41-77 Little Neck Parkway, Queens, NY 11363","51-60 MARATHON PARKWAY, QUEENS, NY 11362",0.0002208999375654956
P.S. 188 Kingsbury,Queens,61.0,2445,J.H.S. 074 Nathaniel Hawthorne,Queens,69.0,1504,Elementary,Junior High-Intermediate-Middle,"218-12 HARTLAND AVENUE, QUEENS, NY 11364","61-15 Oceania Street, Queens, NY 11364",3.565303073835949e-05
P.S. 006 Lillie D. Blake,Manhattan,41.0,2445,J.H.S. 167 Robert F. Wagner,Manhattan,96.0,1504,Elementary,Junior High-Intermediate-Middle,"45 East 81 Street, Manhattan, NY 10028","220 East 76 Street, Manhattan, NY 10021",8.022312553901081e-05
P.S. 041 Crocheron,Queens,55.0,2445,J.H.S. 067 Louis Pasteur,Queens,83.0,1504,Elementary,Junior High-Intermediate-Middle,"34-06 214 Lane, Queens, NY 11361","51-60 MARATHON PARKWAY, QUEENS, NY 11362",6.005764951917442e-10
P.S. 203 Oakland Gardens,Queens,69.0,2445,J.H.S. 074 Nathaniel Hawthorne,Queens,69.0,1504,Elementary,Junior High-Intermediate-Middle,"53-11 SPRINGFIELD BOULEVARD, QUEENS, NY 11364","61-15 Oceania Street, Queens, NY 11364",1.7725041823790627e-05
P.S. 124 Yung Wing,Manhattan,20.0,2445,J.H.S. 104 Simon Baruch,Manhattan,120.0,1504,Elementary,Junior High-Intermediate-Middle,"40 DIVISION STREET, MANHATTAN, NY 10002","330 EAST 21 STREET, MANHATTAN, NY 10010",1.326846554291078e-08
"East Side Elementary School, PS 267",Manhattan,47.0,2445,J.H.S. 167 Robert F. Wagner,Manhattan,96.0,1504,Elementary,Junior High-Intermediate-Middle,"213 East 63 Street, Manhattan, NY 10065","220 East 76 Street, Manhattan, NY 10021",0.00011288599360461822
P.S. 203 Oakland Gardens,Queens,69.0,2445,J.H.S. 067 Louis Pasteur,Queens,83.0,1504,Elementary,Junior High-Intermediate-Middle,"53-11 SPRINGFIELD BOULEVARD, QUEENS, NY 11364","51-60 MARATHON PARKWAY, QUEENS, NY 11362",8.83212245309186e-11
P.S. 8 Shirlee Solomon,Staten Island,26.0,2445,I.S. 007 Elias Bernstein,Staten Island,129.0,1504,Elementary,Junior High-Intermediate-Middle,"112 LINDENWOOD ROAD, STATEN ISLAND, NY 10308","1270 Huguenot Avenue, Staten Island, NY 10312",1.2879210045428292e-05
P.S. 183 Robert L. Stevenson,Manhattan,64.0,2445,J.H.S. 167 Robert F. Wagner,Manhattan,96.0,1504,Elementary,Junior High-Intermediate-Middle,"419 East 66 Street, Manhattan, NY 10065","220 East 76 Street, Manhattan, NY 10021",5.5941424129548904e-05
P.S. 098 The Douglaston School,Queens,95.0,2445,J.H.S. 074 Nathaniel Hawthorne,Queens,69.0,1504,Elementary,Junior High-Intermediate-Middle,"40-20 235 STREET, QUEENS, NY 11363","61-15 Oceania Street, Queens, NY 11364",1.4892162212995577e-20
"East Side Elementary School, PS 267",Manhattan,47.0,2445,J.H.S. 104 Simon Baruch,Manhattan,120.0,1504,Elementary,Junior High-Intermediate-Middle,"213 East 63 Street, Manhattan, NY 10065","330 EAST 21 STREET, MANHATTAN, NY 10010",1.1637107723859044e-05
P.S. 041 Crocheron,Queens,55.0,2445,M.S. 158 Marie Curie,Queens,116.0,1504,Elementary,Junior High-Intermediate-Middle,"34-06 214 Lane, Queens, NY 11361","46-35 Oceania Street, Queens, NY 11361",0.0002393454479507251
P.S. 098 The Douglaston School,Queens,95.0,2445,J.H.S. 067 Louis Pasteur,Queens,83.0,1504,Elementary,Junior High-Intermediate-Middle,"40-20 235 STREET, QUEENS, NY 11363","51-60 MARATHON PARKWAY, QUEENS, NY 11362",0.00027374044570403316
P.S. 005 Huguenot,Staten Island,49.0,2445,I.S. 007 Elias Bernstein,Staten Island,129.0,1504,Elementary,Junior High-Intermediate-Middle,"348a Deisius Street, Staten Island, NY 10312","1270 Huguenot Avenue, Staten Island, NY 10312",0.00046210408814344655
P.S. 290 Manhattan New School,Manhattan,85.0,2445,J.H.S. 167 Robert F. Wagner,Manhattan,96.0,1504,Elementary,Junior High-Intermediate-Middle,"311 EAST 82 STREET, MANHATTAN, NY 10028","220 East 76 Street, Manhattan, NY 10021",3.351359979412594e-05
P.S. 203 Oakland Gardens,Queens,69.0,2445,M.S. 158 Marie Curie,Queens,116.0,1504,Elementary,Junior High-Intermediate-Middle,"53-11 SPRINGFIELD BOULEVARD, QUEENS, NY 11364","46-35 Oceania Street, Queens, NY 11361",0.00018011875130618165
P.S. 376,Queens,117.0,2445,J.H.S. 074 Nathaniel Hawthorne,Queens,69.0,1504,Elementary,Junior High-Intermediate-Middle,"210-21 48 AVENUE, QUEENS, NY 11364","61-15 Oceania Street, Queens, NY 11364",6.13094301731583e-05
P.S. 041 Greenwich Village,Manhattan,70.0,2445,J.H.S. 104 Simon Baruch,Manhattan,120.0,1504,Elementary,Junior High-Intermediate-Middle,"116 WEST 11 STREET, MANHATTAN, NY 10011","330 EAST 21 STREET, MANHATTAN, NY 10010",7.953529920793825e-09
P.S. 205 Alexander Graham Bell,Queens,122.0,2445,J.H.S. 074 Nathaniel Hawthorne,Queens,69.0,1504,Elementary,Junior High-Intermediate-Middle,"75-25 Bell Boulevard, Queens, NY 11364","61-15 Oceania Street, Queens, NY 11364",6.77256474577132e-05
P.S. 158 Bayard Taylor,Manhattan,105.0,2445,J.H.S. 167 Robert F. Wagner,Manhattan,96.0,1504,Elementary,Junior High-Intermediate-Middle,"1458 YORK AVENUE, MANHATTAN, NY 10075","220 East 76 Street, Manhattan, NY 10021",7.398902667813882e-05
P.S. 196 Grand Central Parkway,Queens,13.0,2445,J.H.S. 157 Stephen A. Halsey,Queens,192.0,1504,Elementary,Junior High-Intermediate-Middle,"71-25 113 STREET, QUEENS, NY 11375","63-55 102 Street, Queens, NY 11374",0.00014028444022213662
P.S. 527 - East Side School for Social Action,Manhattan,109.0,2445,J.H.S. 167 Robert F. Wagner,Manhattan,96.0,1504,Elementary,Junior High-Intermediate-Middle,"323 EAST 91 STREET, MANHATTAN, NY 10128","220 East 76 Street, Manhattan, NY 10021",6.710431047798676e-06
P.S. 527 - East Side School for Social Action,Manhattan,109.0,2445,J.H.S. 167 Robert F. Wagner,Manhattan,96.0,1504,Elementary,Junior High-Intermediate-Middle,"323 EAST 91 STREET, MANHATTAN, NY 10128","220 East 76 Street, Manhattan, NY 10021",2.4900166468872275e-05
