ATS System Code,Location Code,Location Name,BEDS Number,Managed By Name,Location Type Description,Location Category Description,Grades,Grades Final,Open Date,Status Description,Building Code,Primary Address,City,State Code,Zip,Borough Block Lot,Census Tract,Community District,Council District,NTA,NTA_Name,Principal Name,Principal Title,Principal Phone Number,Fax Number,Geographical District Code,Administrative District Code,Administrative District Location Code,Administrative District Name,Community School Sup Name,HighSchool Network Location Code,HighSchool Network Name,HighSchool Network Superintendent,HighSchool Network Superintendent Email,BCO Location Code
,OBIG,Intellectus Preparatory Charter School,660900861189,Charter,General Academic,Secondary School,"06,07,08,09,10,11,12","06,07,08,09,10,11,12",Jul 1 2022,Open,OBIG,11 West Prospect Avenue,Mount Vernon,NY,10550,,,,,,N/A,,,,,0,84,,OFFICE OF CHARTER SCHOOLS,,,,,,
01M015,M015,P.S. 015 Roberto Clemente,310100010015,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1904,Open,M015,333 EAST 4 STREET,MANHATTAN,NY,10009,1003740020,2601,103,2,MN28,Lower East Side,IRENE SANCHEZ,Principal,212-228-8730,212-477-0931,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",,,,,MFSC
01M020,M020,P.S. 020 Anna Silver,310100010020,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1963,Open,M020,166 ESSEX STREET,MANHATTAN,NY,10002,1003550001,3001,103,1,MN27,Chinatown,SARAH PINTO,Principal,212-254-9577,212-254-3526,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",,,,,MFSC
01M034,M034,P.S. 034 Franklin D. Roosevelt,310100010034,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",Jul 1 1955,Open,M034,730 East 12 Street,Manhattan,NY,10009,1003810038,2800,103,2,MN28,Lower East Side,ERICK SANCHEZ,I.A. Principal,212-228-4433,212-353-1973,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",,,,,MFSC
01M063,M063,The STAR Academy - P.S.63,310100010063,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1905,Open,M063,121 EAST 3 STREET,MANHATTAN,NY,10009,1004310014,3200,103,2,MN22,East Village,David Gonzalez,Principal,212-674-3180,212-420-9018,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",,,,,MFSC
01M064,M064,P.S. 064 Robert Simon,310100010064,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1954,Open,M064,600 EAST 6 STREET,MANHATTAN,NY,10009,1003870001,2601,103,2,MN28,Lower East Side,Kara Levin,Principal,212-673-6510,212-477-2369,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",,,,,MFSC
01M110,M110,P.S. 110 Florence Nightingale,310100010110,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1902,Open,M110,285 Delancy Street,Manhattan,NY,10002,1003310140,1200,103,1,MN28,Lower East Side,KAREN FEUER,Principal,212-674-2690,212-475-5835,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",,,,,MFSC
01M134,M134,P.S. 134 Henrietta Szold,310100010134,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1960,Open,M134,293 EAST BROADWAY,MANHATTAN,NY,10002,1002880001,202,103,1,MN28,Lower East Side,Robert Perales,Principal,212-673-4470,212-475-6142,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",,,,,MFSC
01M140,M140,P.S. 140 Nathan Straus,310100010140,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",Jul 1 1959,Open,M140,123 RIDGE STREET,MANHATTAN,NY,10002,1003440001,2201,103,1,MN28,Lower East Side,MELISSA RODRIGUEZ,Principal,212-677-4680,212-677-3907,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",,,,,MFSC
01M142,M142,P.S. 142 Amalia Castro,310100010142,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1976,Open,M142,100 ATTORNEY STREET,MANHATTAN,NY,10002,1003430001,1402,103,1,MN28,Lower East Side,Kimberley Mascoe,Principal,212-598-3800,212-598-3810,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",,,,,MFSC
