School Name,State Rank,Total Schools
Special Music School,1,2445
New Explorations Into Sciencetech And Math High School,2,2445
Anderson School (The),3,2445
Ps 77 Lower Lab School,4,2445
Tag Young Scholars,5,2445
30th Avenue School (The) (G & T Citywide),6,2445
Icahn Charter School 4,7,2445
Leaders Of Excellence Advocacy And Discovery,8,2445
Success Academy Charter School-Upper West,9,2445
Ps 35 Clove Valley School (The),10,2445
Quogue Elementary School,11,2445
Greenacres School,12,2445
Ps 196 Grand Central Parkway,13,2445
Success Academy Charter School-Bushwick,14,2445
Success Academy Charter School-Crown Heights,15,2445
Success Academy Charter School-Harlem 2,16,2445
Success Academy Charter School-Hell's Kitchen,17,2445
Edgewood School,18,2445
Success Academy Charter School-Bronx 5 Upper,19,2445
Ps 124 Yung Wing,20,2445
Success Academy Charter School-Williamsburg,21,2445
Ps 94 David D Porter,22,2445
South Bronx Classical Charter School III,23,2445
Success Academy Charter School-Union Square,24,2445
Lakeville Elementary School,25,2445
Ps 8 Shirlee Solomon,26,2445
Willits Elementary School,27,2445
Ps 31 Samuel F Dupont,28,2445
Heathcote School,29,2445
Success Academy Charter School - Bensonhurst,30,2445
Success Academy Charter School - Bed Stuy 1,31,2445
Academy For Excellence Through The Arts (The),32,2445
Ps 150,33,2445
Brooklyn School Of Inquiry,34,2445
South Bronx Classical Charter School,35,2445
Success Academy Charter School - Bronx 4,36,2445
Seely Place School,37,2445
Bronx Charter School For Excellence,38,2445
Success Academy Charter School-Cobble Hill,39,2445
Ps 166 Richard Rogers School Of The Arts & Science (The),40,2445
Ps 6 Lillie D Blake,41,2445
South Grove Elementary School,42,2445
Ps 11 Purvis J Behan,43,2445
Jeffrey Ratner-Robert Seaman Elementary School,44,2445
Ps 39 Henry Bristow,45,2445
Fox Meadow School,46,2445
East Side Elementary School-Ps 267,47,2445
Shelter Rock Elementary School,48,2445
Ps 5 Huguenot,49,2445
George A Jackson School,50,2445
Success Academy Charter School-South Jamaica,51,2445
Success Academy Charter School-Hudson Yards,52,2445
Willets Road School,53,2445
Ps 89,54,2445
Ps 41 Crocheron,55,2445
Osborn School,56,2445
Ps 321 William Penn,57,2445
Glenwood Landing Elementary School,58,2445
Ps 184 Shuang Wen,59,2445
Quaker Ridge School,60,2445
Ps 188 Kingsbury,61,2445
Icahn Charter School 2,62,2445
Walt Whitman Elementary School,63,2445
Ps 183 Robert L Stevenson,64,2445
Ps 87 William Sherman,65,2445
Pearls Hawthorne School,66,2445
Siwanoy School,67,2445
Glen Head Elementary School,68,2445
Ps 203 Oakland Gardens,69,2445
Ps 41 Greenwich Village,70,2445
Ps 24 Spuyten Duyvil,71,2445
Success Academy Charter School-Bed Stuy 3,72,2445
Ps 9 Sarah Anderson,73,2445
Ps 50 Frank Hankinson,74,2445
Success Academy Charter School - Springfield Gardens,75,2445
Chatsworth Avenue School,76,2445
Milton School,77,2445
Greenville School,78,2445
Ps 101 School In The Gardens,79,2445
Westorchard School,80,2445
Harlem Village Academy West Charter School,81,2445
Village Elementary School,82,2445
McVey Elementary School,83,2445
Ps 121,84,2445
Ps 290 Manhattan New School,85,2445
Success Academy Charter School-Bronx 3,86,2445
Ps 172 Beacon School Of Excellence,87,2445
West Side School,88,2445
Bronxville Elementary School,89,2445
Ballet Technical/Nyc Public School For Dance,90,2445
Ps 234 Independence School,91,2445
Hillside Elementary School,92,2445
Icahn Charter School 6,93,2445
Todd Elementary School,94,2445
Ps 98 Douglaston School (The),95,2445
Munsey Park Elementary School,96,2445
Murray Avenue School,97,2445
Ps 29 John M Harrigan,98,2445
Ps 66 Jacqueline Kennedy-Onassis,99,2445
Baylis Elementary School,100,2445
Success Academy Charter School - Washington Heights,101,2445
Wampus School,102,2445
Denton Avenue School,103,2445
Maple East Elementary School,104,2445
Ps 158 Bayard Taylor,105,2445
Success Academy Charter School-Prospect Heights,106,2445
E M Baker School,107,2445
Ps 79 Francis Lewis,108,2445
Ps 527 East Side School For Social Action,109,2445
Spruce Street School,110,2445
Success Academy Charter School-Harlem 3,111,2445
Peninsula Preparatory Academy Charter School,112,2445
Robbins Lane Elementary School,113,2445
Harrison Avenue Elementary School,114,2445
South Bronx Classical Charter School IV,115,2445
Success Academy Charter School-Harlem 5,116,2445
Ps 376,117,2445
Bedford Stuyvesant New Beginnings Charter School,118,2445
Zeta Charter School - Inwood,119,2445
Prospect Hill School,120,2445
Ps 59 Beekman Hill International,121,2445
Ps 205 Alexander Graham Bell,122,2445
Colonial School,123,2445
Enders Road Elementary School,124,2445
Brownsville Collegiate Charter School,125,2445
Success Academy Charter School - Bergen Beach,126,2445
Bronx Charter School For Excellence 2,127,2445
Brooklyn Prospect Charter School-Central School District 13,128,2445
Ps 144 Col Jeromus Remsen,129,2445
Thornell Road School,130,2445
Increase Miller Elementary School,131,2445
Dodge Elementary School,132,2445
Success Academy Charter School - Rosedale,133,2445
Barnum Woods School,134,2445
Sea Cliff Elementary School,135,2445
Willow Avenue Elementary School,136,2445
Ps 34 Oliver H Perry,137,2445
Midland School,138,2445
Success Academy Charter School-Bronx 1,139,2445
Ps 171 Patrick Henry,140,2445
Searingtown School,141,2445
Ps 130,142,2445
Ps/Middle School 4 Crotona Park West,143,2445
Purchase School,144,2445
Naples Street Elementary School,145,2445
Lloyd Harbor School,146,2445
Ps/Is 78,147,2445
Greenvale School,148,2445
Success Academy Charter School-Bronx 2,149,2445
Ps 11 Sarah J Garnett Elementary School (The),150,2445
Ps 107 John W Kimball,151,2445
Manor Oaks William Bowie School,152,2445
Ps 163 Bath Beach,153,2445
North Side School,154,2445
Emily Warren Roebling School (The),155,2445
Bruno M Ponterio Ridge Street School,156,2445
South Salem Elementary School,157,2445
Woodhull School,158,2445
Queens College School For Math Science & Technology (The),159,2445
Center Street School,160,2445
New Hyde Park Road School,161,2445
Douglas G Grafflin School,162,2445
Tesago Elementary School,163,2445
Cornwall-On-Hudson Elementary School,164,2445
Icahn Charter School 3,165,2445
Magnet School Of Math Science & Design Technology,166,2445
Roaring Brook School,167,2445
Battery Park City School,168,2445
Cantiague Elementary School,169,2445
Ps 40 Augustus Saint-Gaudens,170,2445
Stewart Manor School,171,2445
Windsor Terrace School (The),172,2445
Ps 195 Manhattan Beach,173,2445
Zeta Charter School -South Bronx,174,2445
Berne-Knox-Westerlo Elementary School,175,2445
Manor Intermediate School,176,2445
F E Bellows Elementary School,177,2445
Minnesauke Elementary School,178,2445
Ps 174 William Sidney Mount,179,2445
Stratford Avenue School,180,2445
West End School,181,2445
Ps 159,182,2445
Country Parkway Elementary School,183,2445
Saddle Rock School,184,2445
Bedford Road School,185,2445
Nassakeag Elementary School,186,2445
East Hills Elementary School,187,2445
Hewitt School,188,2445
Elsmere Elementary School,189,2445
Barbara Esselborn School (The),190,2445
