School Name,State Rank,Total Schools
Village School,1,1242
Brooklyn Latin School (The),2,1242
Stuyvesant High School,3,1242
Scarsdale Senior High School,4,1242
Edgemont Junior-Senior High School,5,1242
Bronx High School Of Science (The),6,1242
High School Mathematics Science And Engineering At Ccny,7,1242
Staten Island Technical High School,8,1242
Briarcliff High School,9,1242
Queens High School For The Sciences At York College,10,1242
Keene Central School,11,1242
Bronxville High School,12,1242
Great Neck South High School,13,1242
Garden City High School,14,1242
Blind Brook High School,15,1242
Brooklyn Technical High School,16,1242
Jericho Senior High School,17,1242
Hastings High School,18,1242
North Shore Senior High School,19,1242
High School Of American Studies At Lehman College,20,1242
Syosset Senior High School,21,1242
Byram Hills High School,22,1242
Herricks High School,23,1242
East Aurora High School,24,1242
Bethlehem Central Senior High School,25,1242
Wheatley School,26,1242
New Hartford Senior High School,27,1242
Pittsford-Mendon High School,28,1242
Cold Spring Harbor High School,29,1242
Fayetteville-Manlius Senior High School,30,1242
Horace Greeley High School,31,1242
Manhasset Secondary School,32,1242
Skaneateles Senior High School,33,1242
Corning Painted Post High School Learning Center,34,1242
Honeoye Falls-Lima Senior High School,35,1242
Pittsford Sutherland High School,36,1242
Harborfields High School,37,1242
Rye High School,38,1242
Williamsville East High School,39,1242
Robert M Grable Junior Mount Sinai High School,40,1242
Pleasantville High School,41,1242
Irvington High School,42,1242
Half Hollow Hills High School West,43,1242
Plainview-Old Bethpage/Jfk High School,44,1242
Columbia High School,45,1242
Yorktown High School,46,1242
Great Neck North High School,47,1242
John Jay High School,48,1242
Clarence Senior High School,49,1242
Lake George Junior-Senior High School,50,1242
Spackenkill High School,51,1242
Ardsley High School,52,1242
North Salem Middle School/High School,53,1242
H C Williams Senior High School,54,1242
Gen Douglas MacArthur Senior High School,55,1242
Ward Melville Senior High School,56,1242
Eastchester Senior High School,57,1242
Ellicottville Middle School High School,58,1242
Starpoint High School,59,1242
Millennium High School,60,1242
Massapequa High School,61,1242
Harrison High School,62,1242
Cooperstown Junior/Senior High School,63,1242
Amherst Central High School,64,1242
Jamesville-Dewitt High School,65,1242
Dobbs Ferry High School,66,1242
Portville Junior-Senior High School,67,1242
Clayton A Bouton High School,68,1242
Sayville High School,69,1242
W Tresper Clarke High School,70,1242
Burnt Hills-Ballston Lake Senior High School,71,1242
Clinton School (The),72,1242
Niskayuna High School,73,1242
Commack High School,74,1242
Bethpage Senior High School,75,1242
Paul D Schreiber Senior High School,76,1242
North Collins Junior-Senior High School,77,1242
Shoreham-Wading River High School,78,1242
Lewiston Porter Senior High School,79,1242
Schuylerville High School,80,1242
East Meadow High School,81,1242
Pelham Memorial High School,82,1242
Roslyn High School,83,1242
Haldane High School,84,1242
High School For Dual Language And Asian Studies,85,1242
Clinton Senior High School,86,1242
Pierson Middle/High School,87,1242
Vestal Senior High School,88,1242
City Honors School,89,1242
Maple Grove Junior/Senior High School,90,1242
Somers Senior High School,91,1242
Success Academy Charter School-Harlem 1,92,1242
Orchard Park High School,93,1242
Smithtown High School-West,94,1242
Perry Junior-Senior High School,95,1242
Northport Senior High School,96,1242
Bayport-Blue Point High School,97,1242
South Kortright Central School,98,1242
Ogdensburg Free Academy,99,1242
West Islip Senior High School,100,1242
Westfield High School,101,1242
Columbia Secondary School,102,1242
Pavilion Junior-Senior High School,103,1242
Salem High School,104,1242
Beaver River Senior High School,105,1242
Barker Central School,106,1242
New Explorations Into Sciencetech And Math High School,107,1242
Smithtown High School East,108,1242
New Hyde Park Memorial High School,109,1242
Kings Park High School,110,1242
Tappan Zee High School,111,1242
Arkport Central School,112,1242
Donald H Crane Junior/Senior High School,113,1242
Hauppauge High School,114,1242
Wellington C Mepham High School,115,1242
Chittenango High School,116,1242
Remsen Junior-Senior High School,117,1242
Brighton High School,118,1242
Morristown Central School,119,1242
Fairport Senior High School,120,1242
Warwick Valley High School,121,1242
South Side High School,122,1242
Pearl River High School,123,1242
Warsaw Senior High School,124,1242
Hamilton Junior-Senior High School,125,1242
Earl L Vandermeulen High School,126,1242
Oriskany Junior-Senior High School,127,1242
Mamaroneck High School,128,1242
Williamsville North High School,129,1242
Lancaster High School,130,1242
Bolton Central School,131,1242
Millennium Brooklyn High School,132,1242
Johnsburg Central School,133,1242
Shenendehowa High School,134,1242
Fonda-Fultonville Senior High School,135,1242
Babylon Junior-Senior High School,136,1242
Chazy Central Rural Junior-Senior High School,137,1242
Weedsport Junior-Senior High School,138,1242
Lisbon Central School,139,1242
Tioga Senior High School,140,1242
Cazenovia High School,141,1242
Nanuet Senior High School,142,1242
Canandaigua Academy,143,1242
Victor Senior High School,144,1242
Townsend Harris High School,145,1242
Sanford H Calhoun High School,146,1242
Lynbrook Senior High School,147,1242
Hammond Central School,148,1242
Prattsburgh Central School,149,1242
Grand Island Senior High School,150,1242
Scholars' Academy,151,1242
Cornwall Central High School,152,1242
Rhinebeck Senior High School,153,1242
Williamsville South High School,154,1242
Greenwich Junior-Senior High School,155,1242
Division Avenue Senior High School,156,1242
Fort Ann Middle/High School,157,1242
Baruch College Campus High School,158,1242
Clarkstown South Senior High School,159,1242
Franklinville Junior-Senior High School,160,1242
Special Music School,161,1242
Connetquot High School,162,1242
Saratoga Springs High School,163,1242
Wantagh Senior High School,164,1242
John F Kennedy High School,165,1242
Ithaca Senior High School,166,1242
Panama High School,167,1242
Penfield Senior High School,168,1242
Mattituck Junior-Senior High School,169,1242
Csi High School For International Studies,170,1242
Hamburg High School,171,1242
Colton-Pierrepont Central School,172,1242
Long Lake Central School,173,1242
Miller Place High School,174,1242
Eleanor Roosevelt High School,175,1242
Chenango Forks High School,176,1242
Sackets Harbor Central School,177,1242
Thousand Islands High School,178,1242
Alfred-Almond Junior-Senior High School,179,1242
Elwood/John Glenn High School,180,1242
Tuckahoe High School,181,1242
Griffith Institute High School,182,1242
Manhattan Center For Science & Mathematics,183,1242
