School Name,State Rank,Total Schools
Icahn Charter School 4,1,1504
Special Music School,2,1504
South Bronx Classical Charter School IV,3,1504
Success Academy Charter School-Crown Heights,4,1504
South Bronx Classical Charter School II,5,1504
New Explorations Into Sciencetech And Math High School,6,1504
Anderson School (The),7,1504
South Bronx Classical Charter School III,8,1504
Tag Young Scholars,9,1504
Success Academy Charter School-Far Rockaway,10,1504
South Bronx Classical Charter School,11,1504
30th Avenue School (The) (G & T Citywide),12,1504
Success Academy Charter School-Union Square,13,1504
Success Academy Charter School-Upper West,14,1504
Success Academy Charter School - Springfield Gardens,15,1504
Success Academy Charter School-Harlem 3,16,1504
Success Academy Charter School-Harlem 1,17,1504
Bronx Charter School For Excellence 2,18,1504
Ps/Middle School 4 Crotona Park West,19,1504
Icahn Charter School 2,20,1504
Ballet Technical/Nyc Public School For Dance,21,1504
Success Academy Charter School - Bed Stuy 1,22,1504
Success Academy Charter School-Harlem 5,23,1504
Cold Spring Harbor High School,24,1504
Success Academy Charter School - Bergen Beach,25,1504
Icahn Charter School 6,26,1504
Seven Bridges Middle School,27,1504
Is 98 Bay Academy,28,1504
Success Academy Charter School-Bronx 2,29,1504
Brooklyn School Of Inquiry,30,1504
Bronx Charter School For Excellence,31,1504
Middle School 255 Salk School Of Science,32,1504
Scarsdale Middle School,33,1504
Ps 122 Mamie Fay,34,1504
Robert E Bell School,35,1504
Ps 184 Shuang Wen,36,1504
Success Academy Charter School-Bronx 3,37,1504
Bronxville Middle School,38,1504
Christa McAuliffe School (The) /Is 187,39,1504
Success Academy Charter School - Rosedale,40,1504
Icahn Charter School 1,41,1504
Mark Twain Is 239 For The Gifted And Talented,42,1504
Rye Middle School,43,1504
Bell Academy,44,1504
Ps 171 Patrick Henry,45,1504
Icahn Charter School 3,46,1504
Great Neck South Middle School,47,1504
East Side Middle School,48,1504
H C Crittenden Middle School,49,1504
Baccalaureate School For Global Education,50,1504
Briarcliff Middle School,51,1504
Success Academy Charter School-Bed Stuy 3,52,1504
H B Thompson Middle School,53,1504
Nyc Lab Middle School For Collaborative Studies,54,1504
Irvington Middle School,55,1504
Edgemont Junior-Senior High School,56,1504
Pearls Hawthorne School,57,1504
Yorkville East Middle School,58,1504
South Woods Middle School,59,1504
Manhasset Middle School,60,1504
East-West School Of International Studies,61,1504
Willets Road School,62,1504
Clinton School (The),63,1504
Academic Leadership Charter School,64,1504
Transit Middle School,65,1504
Hellenic Classical Charter School Park Slope,66,1504
Central Brooklyn Ascend Charter School,67,1504
Spruce Street School,68,1504
Junior High School 74 Nathaniel Hawthorne,69,1504
Cazenovia High School,70,1504
Herricks Middle School,71,1504
Farragut Middle School,72,1504
Jericho Middle School,73,1504
Eagle Hill Middle School,74,1504
Collegiate Academy-Math-Personal Awa,75,1504
North Shore Middle School,76,1504
All City Leadership Secondary School,77,1504
Ardsley Middle School,78,1504
Middle School 243 Center School,79,1504
New Voices School Of Academic And Creative Arts,80,1504
Keene Central School,81,1504
Bedford Stuyvesant New Beginnings Charter School,82,1504
Junior High School 67 Louis Pasteur,83,1504
Battery Park City School,84,1504
Pharos Academy Charter School,85,1504
Barker Road Middle School,86,1504
Honeoye Falls-Lima Middle School,87,1504
Bulkeley Middle School,88,1504
Harlem Village Academy North Charter School,89,1504
Gowana Middle School,90,1504
Academy Charter School,91,1504
West End Secondary School,92,1504
Madeleine Brennan School (The),93,1504
Columbia Secondary School,94,1504
Junior High School 54 Booker T Washington,95,1504
Junior High School 167 Robert F Wagner,96,1504
Wellwood Middle School,97,1504
Roslyn Middle School,98,1504
Queens College School For Math Science & Technology (The),99,1504
Blind Brook-Rye Middle School,100,1504
Garden City Middle School,101,1504
H B Mattlin Middle School,102,1504
Locust Valley Middle School,103,1504
Brooklyn Prospect Charter School - Central School District 15.2,104,1504
Washington Heights Academy,105,1504
Is 289,106,1504
Scholars' Academy,107,1504
Calkins Road Middle School,108,1504
Institute For Collaborative Education,109,1504
Middle School 442 Carroll Gardens School For Innovation,110,1504
Hommocks School,111,1504
Pelham Middle School,112,1504
Ps/Is 78,113,1504
Middle School 245 Computer School (The),114,1504
Icahn Charter School 5,115,1504
Middle School 158 Marie Curie,116,1504
KIPP Beyond Charter School,117,1504
Harlem Village Academy East Charter School,118,1504
Junior High School 216 George J Ryan,119,1504
Junior High School 104 Simon Baruch,120,1504
Skaneateles Middle School,121,1504
Ps 126 Jacob August Riis,122,1504
Ps 163 Bath Beach,123,1504
Pierre Van Cortlandt School,124,1504
Great Neck North Middle School,125,1504
Dobbs Ferry Middle School,126,1504
Queens Gateway To Health Sciences Secondary School,127,1504
Brooklyn Prospect Charter School-Central School District 13,128,1504
Is 7 Elias Bernstein,129,1504
Patricia A Dichiaro School,130,1504
Icahn Charter School 7,131,1504
Junior High School 259 William McKinley,132,1504
City Honors School,133,1504
Robert F Wagner Junior Secondary School For Arts And Technology,134,1504
Pleasantville Middle School,135,1504
Perry Junior High School,136,1504
Jamesville-Dewitt Middle School,137,1504
Forte Preparatory Academy Charter School,138,1504
Carrie Palmer Weber Middle School,139,1504
Brooklyn Urban Garden Charter School,140,1504
Haldane Middle School,141,1504
Lower Manhattan Community Middle School,142,1504
Science Technology & Research Early College,143,1504
Lenox Academy,144,1504
Pearl River Middle School,145,1504
Rye Neck Middle School,146,1504
Ps/Is 187 Hudson Cliffs,147,1504
Paul J Gelinas Junior High School,148,1504
Lake Pleasant School,149,1504
Plainview-Old Bethpage Middle School,150,1504
Medgar Evers College Preparatory School,151,1504
Putnam Valley Middle School,152,1504
Ps/Is 113 Anthony J Pranzo,153,1504
Central Queens Academy Charter School,154,1504
Louis M Klein Middle School,155,1504
Bronx Charter School For Excellence 3,156,1504
Koda Middle School,157,1504
Acadia Middle School,158,1504
Akron Middle School,159,1504
Is 227 Louis Armstrong,160,1504
Van Antwerp Middle School,161,1504
Casey Middle School,162,1504
Carle Place Middle Senior High School,163,1504
East Aurora Middle School,164,1504
John Jay Middle School,165,1504
Middle Village Preparatory Charter School,166,1504
Mildred E Strang Middle School,167,1504
Academy Charter School-Uniondale,168,1504
New Hyde Park Memorial High School,169,1504
Community Roots Charter School,170,1504
Grand Concourse Academy Charter School,171,1504
Eastchester Middle School,172,1504
Charter School Of Educational Excellence,173,1504
Heim Middle School,174,1504
Howard L Goff School,175,1504
Thousand Islands Middle School,176,1504
Exploratory School (The),177,1504
Is 34 Tottenville,178,1504
Harlem Children's Zone Promise Academy Charter School,179,1504
Is 75 Frank D Paulo,180,1504
Cornwall Middle School,181,1504
Professional Performing Arts High School,182,1504
Riverhead Charter School,183,1504
Amherst Middle School,184,1504
Seeall Academy (The),185,1504
Valence College Preparatory Charter School,186,1504
Ps/Is 266,187,1504
Eagle Academy For Young Men II,188,1504
Is 25 Adrien Block,189,1504
Ps 48 William G Wilcox,190,1504
Junior High School 220 John J Pershing,191,1504
Junior High School 157 Stephen A Halsey,192,1504
Ps 229 Dyker,193,1504
Bethlehem Central Middle School,194,1504
Southern Cayuga 7-12 Secondary School,195,1504
Ellicottville Middle School High School,196,1504
Middle School 267 Math Science & Technology,197,1504
Ps/Is 119 Glendale (The),198,1504
Junior High School 50 John D Wells,199,1504
World Journalism Preparatory: A College Board School,200,1504
Twelve Corners Middle School,201,1504
Mott Hall School (The),202,1504
Windham Ashland Central School,203,1504
Uncommon Canarsie Charter School Nyc,204,1504
Iroquois Middle School,205,1504
Ps/Middle School 200 Magnet School-Global Studi,206,1504
Pocantico Hills Central School,207,1504
Ella Baker School,208,1504
Bridges: A School For Exploration And Equity,209,1504
C S Driver Middle School,210,1504
Explore Charter School,211,1504
Is 24 Myra S Barnes,212,1504
Randolph Senior High School,213,1504
Sauquoit Valley Middle School,214,1504
Clarence Middle School,215,1504
Harriet Tubman Charter School,216,1504
Uncommon Kings Charter School Nyc,217,1504
Ps 207 Rockwood Park,218,1504
Riverton Street Charter School,219,1504
Bay Trail Middle School,220,1504
School Of The Future High School,221,1504
Ps 128 Lorraine Tuzzo-Juniper Valley,222,1504
Naples High School,223,1504
Johanna Perrin Middle School,224,1504
Equity Project Charter School (The),225,1504
Chazy Central Rural Junior-Senior High School,226,1504
Dream Charter School East Harlem,227,1504
John F Kennedy Middle School,228,1504
Ps 49 Dorothy Bonawit Kole,229,1504
Children's Aid College Preparatory Charter School,230,1504
Irwin Altman Middle School 172,231,1504
Harlem Children's Zone Promise Academy II Charter School,232,1504
Achievement First-Bushwick Charter School,233,1504
Marsh Avenue School For Expeditionary Learning,234,1504
Somers Middle School,235,1504
Neighborhood Charter School Of Harlem,236,1504
Pembroke Junior-Senior High School,237,1504
KIPP Academy Charter School,238,1504
Edmeston Central School,239,1504
Long Lake Central School,240,1504
Maple Avenue Middle School,241,1504
Young Womens Leadership School - Astoria,242,1504
Junior High School 185 Edward Bleeker,243,1504
Mill Middle School,244,1504
Woodland Middle School,245,1504
Cooperstown Junior/Senior High School,246,1504
Colton-Pierrepont Central School,247,1504
Staten Island School Of Civic Leadership,248,1504
Oldfield Middle School,249,1504
Richard H O'Rourke Middle School,250,1504
Ps 47 Chris Galas,251,1504
Middle School 35 Stephen Decatur,252,1504
Candlewood Middle School,253,1504
Alfred-Almond Junior-Senior High School,254,1504
Willink Middle School,255,1504
Westlake Middle School,256,1504
Lake George Junior-Senior High School,257,1504
Academy Of Arts And Letters,258,1504
Northport Middle School,259,1504
Grand Avenue Middle School,260,1504
Ps 164 Queens Valley,261,1504
Dream Charter School Mott Haven,262,1504
Ps 102 Bayview,263,1504
Is 228 David A Boody,264,1504
Orchard Park Middle School,265,1504
Port Jefferson Middle School,266,1504
Community Partnership Charter School,267,1504
Martha Brown Middle School,268,1504
