ATS System Code,Location Name,Location Category Description,Borough,Full Address,Zoned Elementary,Zoned Middle,Zoned High
01M015,P.S. 015 Roberto Clemente,Elementary,Manhattan,"333 EAST 4 STREET, MANHATTAN, NY 10009",No,No,No
01M020,P.S. 020 Anna Silver,Elementary,Manhattan,"166 ESSEX STREET, MANHATTAN, NY 10002",No,No,No
01M034,P.S. 034 Franklin D. Roosevelt,K-8,Manhattan,"730 East 12 Street, Manhattan, NY 10009",No,No,No
01M063,The STAR Academy - P.S.63,Elementary,Manhattan,"121 EAST 3 STREET, MANHATTAN, NY 10009",No,No,No
01M064,P.S. 064 Robert Simon,Elementary,Manhattan,"600 EAST 6 STREET, MANHATTAN, NY 10009",No,No,No
01M110,P.S. 110 Florence Nightingale,Elementary,Manhattan,"285 Delancy Street, Manhattan, NY 10002",No,No,No
01M134,P.S. 134 Henrietta Szold,Elementary,Manhattan,"293 EAST BROADWAY, MANHATTAN, NY 10002",No,No,No
01M140,P.S. 140 Nathan Straus,K-8,Manhattan,"123 RIDGE STREET, MANHATTAN, NY 10002",No,No,No
01M142,P.S. 142 Amalia Castro,Elementary,Manhattan,"100 ATTORNEY STREET, MANHATTAN, NY 10002",No,No,No
01M184,P.S. 184m Shuang Wen,K-8,Manhattan,"327 CHERRY STREET, MANHATTAN, NY 10002",No,No,No
01M188,P.S. 188 The Island School,K-8,New York,"442 EAST HOUSTON STREET, NEW YORK, NY 10002",No,No,No
01M292,Orchard Collegiate Academy,High school,Manhattan,"220 HENRY STREET, MANHATTAN, NY 10002",No,No,No
01M315,The East Village Community School,Elementary,Manhattan,"185 1 Avenue, Manhattan, NY 10003",No,No,No
01M332,University Neighborhood Middle School,Junior High-Intermediate-Middle,Manhattan,"220 HENRY STREET, MANHATTAN, NY 10002",No,No,No
01M361,The Children's Workshop School,Elementary,Manhattan,"610 EAST 12 STREET, MANHATTAN, NY 10009",No,No,No
01M363,Neighborhood School,Elementary,Manhattan,"121 EAST 3 STREET, MANHATTAN, NY 10009",No,No,No
01M364,Earth School,Elementary,Manhattan,"600 EAST 6 STREET, MANHATTAN, NY 10009",No,No,No
01M378,School for Global Leaders,Junior High-Intermediate-Middle,Manhattan,"145 Stanton Street, Manhattan, NY 10002",No,No,No
01M448,University Neighborhood High School,High school,Manhattan,"200 Monroe Street, Manhattan, NY 10002",No,No,No
01M450,East Side Community School,Secondary School,Manhattan,"420 East 12 Street, Manhattan, NY 10009",No,No,No
01M458,Forsyth Satellite Academy,High school,Manhattan,"198 Forsyth Street, Manhattan, NY 10002",No,No,No
01M515,Lower East Side Preparatory High School,High school,Manhattan,"145 Stanton Street, Manhattan, NY 10002",No,No,No
01M539,"New Explorations into Science, Technology and Math High School",K-12 all grades,Manhattan,"111 COLUMBIA STREET, MANHATTAN, NY 10002",No,No,No
01M650,Cascades High School,High school,Manhattan,"198 Forsyth Street, Manhattan, NY 10002",No,No,No
01M696,Bard High School Early College,High school,Manhattan,"525 EAST HOUSTON STREET, MANHATTAN, NY 10002",No,No,No
01M839,Tompkins Square Middle School,Junior High-Intermediate-Middle,Manhattan,"600 EAST 6 STREET, MANHATTAN, NY 10009",No,No,No
02M047,47 The American Sign Language and English Secondary School,High school,Manhattan,"223 East 23 Street, Manhattan, NY 10010",No,No,No
02M077,P.S. 77 Lower Lab School,Elementary,Manhattan,"1700 3 AVENUE, MANHATTAN, NY 10128",No,No,No
02M114,East Side Middle School,Junior High-Intermediate-Middle,Manhattan,"331 East 91 Street, Manhattan, NY 10128",No,No,No
02M135,The Urban Assembly Early College High School of Emergency Medicine,High school,Manhattan,"411 PEARL STREET, MANHATTAN, NY 10038",No,No,No
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,High school,Manhattan,"439 West 49 Street, Manhattan, NY 10019",No,No,No
02M150,P.S. 150,Elementary,Manhattan,"28-42 Trinity Place, Manhattan, NY 10006",No,No,No
02M177,Yorkville East Middle School,Junior High-Intermediate-Middle,Manhattan,"1458 YORK AVENUE, MANHATTAN, NY 10075",No,No,No
02M212,P.S. 212 Midtown West,Elementary,Manhattan,"328 WEST 48 STREET, MANHATTAN, NY 10036",No,No,No
02M225,Ella Baker School,K-8,Manhattan,"317 EAST 67 STREET, MANHATTAN, NY 10065",No,No,No
02M255,M.S. 255 Salk School of Science,Junior High-Intermediate-Middle,Manhattan,"320 EAST 20 STREET, MANHATTAN, NY 10003",No,No,No
02M260,The Clinton School,Secondary School,Manhattan,"10 East 15 Street, Manhattan, NY 10003",No,No,No
02M280,Manhattan Early College School for Marketing and Media Arts,High school,Manhattan,"411 PEARL STREET, MANHATTAN, NY 10038",No,No,No
02M282,Urban Assembly Maker Academy,High school,Manhattan,"411 PEARL STREET, MANHATTAN, NY 10038",No,No,No
02M288,Food and Finance High School,High school,Manhattan,"525 West 50 Street, Manhattan, NY 10019",No,No,No
02M289,I.S. 289,Junior High-Intermediate-Middle,Manhattan,"201 WARREN STREET, MANHATTAN, NY 10282",No,No,No
02M294,Essex Street Academy,High school,Manhattan,"350 GRAND STREET, MANHATTAN, NY 10002",No,No,No
02M296,High School of Hospitality Management,High school,Manhattan,"525 West 50 Street, Manhattan, NY 10019",No,No,No
02M298,Pace High School,High school,Manhattan,"100 HESTER STREET, MANHATTAN, NY 10002",No,No,No
02M300,"Urban Assembly School of Design and Construction, The",High school,Manhattan,"525 West 50 Street, Manhattan, NY 10019",No,No,No
02M303,"Facing History School, The",Secondary School,Manhattan,"525 West 50 Street, Manhattan, NY 10019",No,No,No
02M305,"Urban Assembly Academy of Government and Law, The",High school,Manhattan,"350 GRAND STREET, MANHATTAN, NY 10002",No,No,No
02M308,Lower Manhattan Arts Academy,High school,Manhattan,"350 GRAND STREET, MANHATTAN, NY 10002",No,No,No
02M312,New York City Lab Middle School for Collaborative Studies,Junior High-Intermediate-Middle,Manhattan,"333 WEST 17 STREET, MANHATTAN, NY 10011",No,No,No
02M313,"James Baldwin School, The: A School for Expeditionary Learning",High school,Manhattan,"351 WEST 18 STREET, MANHATTAN, NY 10011",No,No,No
02M316,"Urban Assembly School of Business for Young Women, the",High school,Manhattan,"26 BROADWAY, MANHATTAN, NY 10004",No,No,No
02M347,The 47 American Sign Language & English Lower School,K-8,Manhattan,"223 East 23 Street, Manhattan, NY 10010",No,No,No
02M374,Gramercy Arts High School,High school,Manhattan,"40 IRVING PLACE, MANHATTAN, NY 10003",No,No,No
02M376,NYC iSchool,High school,Manhattan,"131 AVENUE OF THE AMERICAS, MANHATTAN, NY 10013",No,No,No
02M391,District 2 Pre-K Center,District Pre-K Center,Manhattan,"2-26 WASHINGTON STREET, MANHATTAN, NY 10004",No,No,No
02M392,Manhattan Business Academy,High school,Manhattan,"351 WEST 18 STREET, MANHATTAN, NY 10011",No,No,No
02M393,Business Of Sports School,High school,Manhattan,"439 West 49 Street, Manhattan, NY 10019",No,No,No
02M394,Emma Lazarus High School,High school,Manhattan,"100 HESTER STREET, MANHATTAN, NY 10002",No,No,No
02M395,A School Without Walls,High school,Manhattan,"90 TRINITY PLACE, MANHATTAN, NY 10006",No,No,No
02M399,The High School For Language And Diplomacy,High school,Manhattan,"40 IRVING PLACE, MANHATTAN, NY 10003",No,No,No
02M400,High School for Environmental Studies,High school,Manhattan,"444 WEST 56 STREET, MANHATTAN, NY 10019",No,No,No
02M407,Institute for Collaborative Education,Secondary School,Manhattan,"345 East 15 Street, Manhattan, NY 10003",No,No,No
02M408,Professional Performing Arts High School,Secondary School,Manhattan,"328 WEST 48 STREET, MANHATTAN, NY 10036",No,No,No
02M411,Baruch College Campus High School,High school,Manhattan,"55 EAST 25 STREET, MANHATTAN, NY 10010",No,No,No
02M412,N.Y.C. Lab School for Collaborative Studies,High school,Manhattan,"333 WEST 17 STREET, MANHATTAN, NY 10011",No,No,No
02M413,School of the Future High School,Secondary School,Manhattan,"127 EAST 22 STREET, MANHATTAN, NY 10010",No,No,No
02M414,N.Y.C. Museum School,High school,Manhattan,"333 WEST 17 STREET, MANHATTAN, NY 10011",No,No,No
02M416,Eleanor Roosevelt High School,High school,Manhattan,"411 East 76 Street, Manhattan, NY 10021",No,No,No
02M418,Millennium High School,High school,Manhattan,"75 BROAD STREET, MANHATTAN, NY 10004",No,No,No
02M419,Landmark High School,High school,Manhattan,"351 WEST 18 STREET, MANHATTAN, NY 10011",No,No,No
02M420,High School for Health Professions and Human Services,High school,Manhattan,"345 East 15 Street, Manhattan, NY 10003",No,No,No
02M422,Quest to Learn,Secondary School,Manhattan,"351 WEST 18 STREET, MANHATTAN, NY 10011",No,No,No
02M425,Leadership and Public Service High School,High school,Manhattan,"90 TRINITY PLACE, MANHATTAN, NY 10006",No,No,No
02M427,Manhattan Academy For Arts & Language,High school,Manhattan,"111 East 33 Street, Manhattan, NY 10016",No,No,No
02M432,Murray Hill Academy,High school,Manhattan,"111 East 33 Street, Manhattan, NY 10016",No,No,No
02M437,Hudson High School of Learning Technologies,High school,Manhattan,"351 WEST 18 STREET, MANHATTAN, NY 10011",No,No,No
02M438,International High School at Union Square,High school,Manhattan,"40 IRVING PLACE, MANHATTAN, NY 10003",No,No,No
02M439,Manhattan Village Academy,High school,Manhattan,"43 WEST 22 STREET, MANHATTAN, NY 10010",No,No,No
02M442,"Ballet Tech, NYC Public School for Dance",K-8,Manhattan,"890 BROADWAY, MANHATTAN, NY 10003",No,No,No
02M449,Vanguard High School,High school,Manhattan,"317 EAST 67 STREET, MANHATTAN, NY 10065",No,No,No
02M459,Manhattan International High School,High school,Manhattan,"317 EAST 67 STREET, MANHATTAN, NY 10065",No,No,No
02M475,Stuyvesant High School,High school,Manhattan,"345 CHAMBERS STREET, MANHATTAN, NY 10282",No,No,No
